Member_number,Date,itemDescription
1050,2014-10-12,other vegetables
1050,2014-10-12,dishes
1050,2015-05-04,meat
1050,2015-05-04,whole milk
1051,2014-01-13,hamburger meat
1051,2014-01-13,bottled beer
1051,2014-09-17,pork
1051,2014-09-17,coffee
1051,2014-09-17,frozen vegetables
1051,2014-12-26,shopping bags
1051,2015-08-12,other vegetables
1051,2015-08-12,soda
1051,2015-08-12,rolls/buns
1051,2015-08-12,dishes
1051,2015-10-12,tropical fruit
1051,2015-10-12,other vegetables
1051,2015-10-12,hamburger meat
1051,2015-10-12,popcorn
1051,2015-10-12,female sanitary products
1051,2015-11-10,fish
1051,2015-11-10,tropical fruit
1051,2015-11-10,red/blush wine
1051,2015-11-10,cream cheese
1052,2014-01-04,beef
1052,2014-01-04,shopping bags
1052,2014-01-15,root vegetables
1052,2014-01-15,grapes
1052,2014-03-24,chicken
1052,2014-03-24,beverages
1052,2014-03-24,coffee
1052,2014-09-29,butter
1052,2014-09-29,dog food
1052,2014-10-13,soda
1052,2014-10-13,whole milk
1052,2014-11-20,bottled water
1052,2014-11-20,chewing gum
1052,2014-12-05,soda
1052,2014-12-05,hamburger meat
1052,2015-05-15,frankfurter
1052,2015-05-15,whipped/sour cream
1052,2015-07-06,butter milk
1052,2015-07-06,yogurt
1052,2015-07-06,margarine
1052,2015-10-27,pork
1052,2015-10-27,other vegetables
1052,2015-10-27,yogurt
1052,2015-10-27,shopping bags
1052,2015-10-27,soft cheese
1052,2015-10-27,detergent
1053,2014-04-30,soda
1053,2014-05-16,waffles
1053,2014-05-16,rolls/buns
1053,2014-05-23,whole milk
1053,2014-05-23,sugar
1053,2014-11-05,chicken
1053,2014-11-05,frozen vegetables
1053,2014-12-10,other vegetables
1053,2014-12-10,whole milk
1053,2015-07-09,hamburger meat
1053,2015-07-09,pastry
1054,2014-01-16,soda
1054,2014-01-16,fruit/vegetable juice
1054,2015-09-02,bottled beer
1054,2015-09-02,oil
1054,2015-10-04,frankfurter
1054,2015-10-04,citrus fruit
1054,2015-10-04,margarine
1054,2015-10-21,photo/film
1054,2015-10-21,other vegetables
1055,2014-08-05,pork
1055,2014-08-05,white wine
1055,2015-05-25,bottled water
1055,2015-05-25,yogurt
1055,2015-05-25,newspapers
1055,2015-05-25,soda
1056,2014-09-24,ham
1056,2014-09-24,whole milk
1056,2015-09-13,pip fruit
1056,2015-09-13,other vegetables
1056,2015-11-09,whipped/sour cream
1056,2015-11-09,meat spreads
1057,2014-01-06,soda
1057,2014-01-06,domestic eggs
1057,2014-01-06,sliced cheese
1057,2014-03-05,salty snack
1057,2014-03-05,pickled vegetables
1057,2014-06-08,tropical fruit
1057,2014-06-08,uht-milk
1058,2014-05-24,chicken
1058,2014-05-24,other vegetables
1058,2014-08-07,yogurt
1058,2014-08-07,root vegetables
1058,2015-04-06,sausage
1058,2015-04-06,bottled water
1058,2015-11-10,root vegetables
1058,2015-11-10,other vegetables
1059,2014-06-11,dessert
1059,2014-06-11,spread cheese
1059,2014-06-14,sausage
1059,2014-06-14,salty snack
1059,2014-06-14,cling film/bags
1061,2014-03-17,soda
1061,2014-03-17,fruit/vegetable juice
1061,2014-03-17,bottled beer
1061,2014-05-19,beef
1061,2014-05-19,chocolate
1061,2014-07-31,whipped/sour cream
1061,2014-07-31,hard cheese
1061,2014-10-23,beverages
1061,2014-10-23,dessert
1061,2015-09-05,whole milk
1061,2015-09-05,tropical fruit
1061,2015-09-05,root vegetables
1061,2015-09-05,instant food products
1061,2015-09-05,margarine
1062,2014-01-26,whole milk
1062,2014-01-26,sauces
1062,2014-05-08,white bread
1062,2014-05-08,frozen fruits
1062,2014-11-07,ham
1062,2014-11-07,whipped/sour cream
1062,2014-11-07,ketchup
1062,2015-04-16,tropical fruit
1062,2015-04-16,whole milk
1062,2015-04-16,other vegetables
1062,2015-04-16,long life bakery product
1062,2015-09-18,other vegetables
1062,2015-09-18,yogurt
1062,2015-09-18,whole milk
1062,2015-09-18,butter
1062,2015-09-18,shopping bags
1063,2014-06-07,whole milk
1063,2014-06-07,citrus fruit
1063,2015-01-23,rolls/buns
1063,2015-01-23,candy
1064,2014-04-21,cream cheese
1064,2014-04-21,rolls/buns
1064,2014-09-03,root vegetables
1064,2014-09-03,whole milk
1064,2015-07-25,long life bakery product
1064,2015-07-25,root vegetables
1064,2015-07-25,other vegetables
1065,2014-01-14,tropical fruit
1065,2014-01-14,whole milk
1065,2014-01-14,long life bakery product
1065,2014-01-14,rum
1065,2014-01-23,hamburger meat
1065,2014-01-23,soda
1065,2014-11-05,tropical fruit
1065,2014-11-05,rolls/buns
1065,2014-12-25,red/blush wine
1065,2014-12-25,frozen fish
1065,2015-10-27,beef
1065,2015-10-27,dessert
1065,2015-11-13,frankfurter
1065,2015-11-13,tropical fruit
1066,2014-02-01,root vegetables
1066,2014-02-01,bottled beer
1066,2014-05-15,whole milk
1066,2014-05-15,other vegetables
1066,2014-06-12,oil
1066,2014-06-12,shopping bags
1067,2015-03-05,whole milk
1067,2015-03-05,tropical fruit
1067,2015-04-08,hamburger meat
1067,2015-04-08,pork
1067,2015-07-20,rolls/buns
1067,2015-07-20,tropical fruit
1067,2015-07-20,coffee
1067,2015-07-20,chocolate
1068,2014-03-08,soda
1068,2014-03-08,yogurt
1068,2015-07-01,pork
1068,2015-07-01,spread cheese
1069,2014-01-20,pork
1069,2014-01-20,rolls/buns
1069,2014-05-20,brown bread
1069,2014-05-20,fruit/vegetable juice
1069,2014-12-18,salt
1069,2014-12-18,domestic eggs
1069,2015-08-20,bottled beer
1069,2015-08-20,tropical fruit
1069,2015-08-20,sliced cheese
1069,2015-08-20,dishes
1070,2014-04-10,citrus fruit
1070,2014-04-10,red/blush wine
1070,2014-11-05,cream cheese
1070,2014-11-05,newspapers
1071,2014-09-26,yogurt
1071,2014-09-26,roll products
1071,2014-09-26,fruit/vegetable juice
1072,2014-06-23,ham
1072,2014-06-23,other vegetables
1072,2015-10-23,frankfurter
1072,2015-10-23,canned beer
1073,2014-03-21,brown bread
1073,2014-03-21,salt
1073,2014-06-05,yogurt
1073,2014-06-05,bottled water
1073,2014-06-05,domestic eggs
1073,2015-06-08,pip fruit
1073,2015-06-08,curd
1073,2015-06-08,prosecco
1073,2015-12-03,finished products
1073,2015-12-03,brown bread
1073,2015-12-03,dishes
1074,2014-01-29,detergent
1074,2014-01-29,candy
1074,2014-02-04,semi-finished bread
1074,2014-02-04,ketchup
1074,2014-05-08,oil
1074,2014-05-08,shopping bags
1074,2015-06-24,misc. beverages
1074,2015-06-24,instant coffee
1074,2015-10-16,fruit/vegetable juice
1074,2015-10-16,flower (seeds)
1075,2014-06-19,uht-milk
1075,2014-06-19,canned fish
1075,2015-01-29,pip fruit
1075,2015-01-29,rolls/buns
1075,2015-07-20,frankfurter
1075,2015-07-20,frozen meals
1075,2015-07-20,dishes
1075,2015-11-19,frankfurter
1075,2015-11-19,citrus fruit
1075,2015-11-19,bottled water
1075,2015-11-19,fruit/vegetable juice
1076,2014-12-24,sausage
1076,2014-12-24,brown bread
1076,2015-05-14,frankfurter
1076,2015-05-14,chicken
1076,2015-05-14,butter
1076,2015-05-14,bottled water
1076,2015-06-12,sausage
1076,2015-06-12,butter
1076,2015-06-12,bottled water
1076,2015-10-14,ham
1076,2015-10-14,whole milk
1076,2015-10-14,coffee
1077,2014-07-17,pastry
1077,2014-07-17,pasta
1077,2014-08-30,canned beer
1077,2014-08-30,rolls/buns
1077,2014-08-30,artif. sweetener
1077,2014-08-30,soda
1077,2014-09-29,white bread
1077,2014-09-29,brown bread
1077,2014-10-07,other vegetables
1077,2014-10-07,butter
1077,2014-12-30,rolls/buns
1077,2014-12-30,root vegetables
1077,2015-09-12,tropical fruit
1077,2015-09-12,soda
1078,2014-08-28,chicken
1078,2014-08-28,soda
1078,2015-10-28,frankfurter
1078,2015-10-28,curd
1078,2015-10-28,white bread
1078,2015-10-28,rolls/buns
1078,2015-10-28,coffee
1079,2014-10-07,red/blush wine
1079,2014-10-07,bottled water
1079,2014-10-07,sweet spreads
1079,2015-09-09,rolls/buns
1079,2015-09-09,onions
1079,2015-09-09,napkins
1080,2014-11-02,canned beer
1080,2014-11-02,soda
1080,2015-05-14,root vegetables
1080,2015-05-14,frozen vegetables
1080,2015-05-14,pet care
1081,2014-02-11,beverages
1081,2014-02-11,yogurt
1081,2015-01-21,tropical fruit
1081,2015-01-21,whole milk
1081,2015-03-06,other vegetables
1081,2015-03-06,frankfurter
1081,2015-03-06,newspapers
1081,2015-03-06,whole milk
1081,2015-03-06,pastry
1081,2015-04-25,coffee
1081,2015-04-25,butter milk
1081,2015-05-03,specialty bar
1081,2015-05-03,tropical fruit
1081,2015-05-03,yogurt
1081,2015-05-03,bottled beer
1081,2015-05-03,baking powder
1082,2014-03-20,bottled water
1082,2014-03-20,hygiene articles
1082,2014-05-13,beef
1082,2014-05-13,margarine
1082,2014-05-13,other vegetables
1083,2014-07-15,specialty chocolate
1083,2014-07-15,soda
1083,2014-07-15,bathroom cleaner
1083,2014-11-15,hamburger meat
1083,2014-11-15,whole milk
1083,2015-02-06,pork
1083,2015-02-06,sliced cheese
1084,2014-04-18,pip fruit
1084,2014-04-18,other vegetables
1085,2014-04-24,other vegetables
1085,2014-04-24,shopping bags
1085,2014-04-24,soda
1085,2014-05-25,yogurt
1085,2014-05-25,newspapers
1085,2015-08-15,root vegetables
1085,2015-08-15,citrus fruit
1086,2014-07-27,rolls/buns
1086,2014-07-27,soda
1086,2014-09-26,canned beer
1086,2014-09-26,herbs
1086,2014-09-26,margarine
1086,2014-12-10,ice cream
1086,2014-12-10,whipped/sour cream
1086,2015-11-17,other vegetables
1086,2015-11-17,beef
1086,2015-11-17,soda
1086,2015-11-17,curd
1086,2015-11-17,butter
1086,2015-12-28,rolls/buns
1086,2015-12-28,citrus fruit
1087,2014-02-26,sausage
1087,2014-02-26,beverages
1087,2014-04-20,whole milk
1087,2014-06-19,specialty chocolate
1087,2014-06-19,white bread
1087,2014-07-25,other vegetables
1087,2014-07-25,whole milk
1087,2014-10-13,ham
1087,2014-10-13,white bread
1087,2014-12-11,coffee
1087,2014-12-11,berries
1087,2014-12-16,soda
1087,2014-12-16,flower (seeds)
1087,2014-12-16,jam
1087,2015-03-19,sausage
1087,2015-03-19,pip fruit
1087,2015-03-19,chocolate
1087,2015-08-14,herbs
1087,2015-08-14,pot plants
1087,2015-08-14,cake bar
1088,2015-01-14,yogurt
1088,2015-01-14,berries
1088,2015-11-09,whole milk
1088,2015-11-09,hard cheese
1088,2015-11-30,tropical fruit
1088,2015-11-30,meat
1088,2015-11-30,other vegetables
1088,2015-11-30,domestic eggs
1088,2015-11-30,baking powder
1089,2014-12-05,yogurt
1089,2014-12-05,sauces
1090,2015-08-31,sausage
1090,2015-08-31,whisky
1090,2015-08-31,specialty chocolate
1090,2015-08-31,dishes
1090,2015-08-31,yogurt
1090,2015-08-31,napkins
1090,2015-08-31,detergent
1090,2015-08-31,pastry
1090,2015-10-04,beef
1090,2015-10-04,yogurt
1090,2015-10-21,ice cream
1090,2015-10-21,whole milk
1092,2014-12-10,yogurt
1092,2014-12-10,newspapers
1092,2015-05-16,root vegetables
1092,2015-05-16,soda
1092,2015-05-16,specialty bar
1092,2015-05-16,other vegetables
1092,2015-05-16,frozen vegetables
1092,2015-07-03,photo/film
1092,2015-07-03,shopping bags
1092,2015-07-27,rolls/buns
1092,2015-07-27,grapes
1092,2015-07-27,bottled beer
1092,2015-07-27,sausage
1092,2015-07-27,salty snack
1092,2015-07-27,instant food products
1092,2015-07-27,domestic eggs
1092,2015-07-27,bottled water
1092,2015-10-09,frankfurter
1092,2015-10-09,other vegetables
1092,2015-10-09,bottled beer
1093,2015-03-28,dessert
1093,2015-03-28,domestic eggs
1094,2014-03-11,whole milk
1094,2014-03-11,brown bread
1094,2014-07-24,pasta
1094,2014-07-24,whole milk
1094,2014-07-24,waffles
1094,2014-08-18,newspapers
1094,2014-08-18,salty snack
1094,2014-08-26,chocolate marshmallow
1094,2014-08-26,other vegetables
1094,2014-12-11,hamburger meat
1094,2014-12-11,detergent
1094,2014-12-11,flour
1094,2015-01-07,sausage
1094,2015-01-07,tropical fruit
1094,2015-01-07,misc. beverages
1094,2015-01-07,root vegetables
1094,2015-05-16,tropical fruit
1094,2015-05-16,soda
1094,2015-09-08,sausage
1094,2015-09-08,whole milk
1095,2014-03-25,yogurt
1095,2014-03-25,shopping bags
1095,2014-08-06,pickled vegetables
1095,2014-08-06,flour
1095,2015-10-30,packaged fruit/vegetables
1095,2015-10-30,bottled water
1095,2015-10-30,pork
1095,2015-10-30,domestic eggs
1096,2015-07-28,pip fruit
1096,2015-07-28,fruit/vegetable juice
1097,2014-04-16,sausage
1097,2014-04-16,whole milk
1097,2014-04-16,cake bar
1097,2014-05-03,shopping bags
1097,2014-05-03,root vegetables
1097,2014-10-12,whipped/sour cream
1097,2014-10-12,curd
1097,2014-10-12,shopping bags
1097,2014-11-26,hard cheese
1097,2014-11-26,whole milk
1097,2015-09-25,frankfurter
1097,2015-09-25,whipped/sour cream
1097,2015-09-25,bottled water
1097,2015-11-01,tropical fruit
1097,2015-11-01,whole milk
1097,2015-11-01,soda
1097,2015-11-01,curd
1098,2014-02-25,citrus fruit
1098,2014-02-25,dessert
1098,2014-07-19,tropical fruit
1098,2014-07-19,candy
1098,2015-01-19,rolls/buns
1098,2015-01-19,shopping bags
1098,2015-01-19,cat food
1098,2015-05-07,canned beer
1098,2015-05-07,napkins
1098,2015-05-07,rolls/buns
